12/16/2024
Time (s)	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	OCP value (V)
8.0022759797962	50000	-229.980830148048	77.7417735779341	242.765247913758	161.322901482026	0.409292120682566
13.0803529669753	14100	114.34241423511	1638.30335478124	1642.28866828599	86.0076188977969	
15.8093939600851	3976.4	832.088396034505	7468.54173731717	7514.75127870935	83.6427549633023	
25.7985459348649	2846.07	2896.27654161437	1086.83855206157	3093.48280159321	20.568789096511	
25.7985459348649	2213.61	-344.331196665649	6032.7242389678	6042.54298424321	93.2667400623599	
25.7985459348649	1581.15	-1751.88871927312	9596.67671443788	9755.27129536388	100.345518457333	
17.2714149563939	1121.4	817.861736500961	9068.84092495382	9105.64514694866	84.8467942764804	
25.7985459348649	948.69	-2593.56036016422	7387.74289702453	7829.77014058214	109.344267443492	
34.2876759134319	802.602	444136.278757296	710339.399469085	837758.375993029	57.9845165327938	
34.2876759134319	624.246	705762.804473341	1623525.54478669	1770292.72459472	66.5049327519561	
34.2876759134319	445.89	-85012.3600094325	972787.95116971	976495.51934217	94.9944144950613	
25.7985459348649	316.23	6617.73450061819	29657.5712406237	30386.937025856	77.4211947824973	
34.2876759134319	267.534	-167483.257334878	4773343.38753194	4776280.74308686	92.0095241347062	
35.9446979092484	226.341	260335.967700349	3341486.32082346	3351612.39530003	85.5450719079605	
35.9446979092484	176.043	808662.854773838	8508343.79762565	8546686.48022646	84.5707168966824	
35.9446979092484	125.745	699149.98760104	8865398.87242284	8892924.5961224	85.4908281988339	
34.2876759134319	89.178	1031613.57766459	14221497.5784052	14258864.609295	85.8510868666323	
35.9446979092484	75.447	1101856.83865873	6332104.14434644	6427256.91004712	80.1287360741533	
38.2867329033353	63.8289	-451691.355984576	11637714.7167298	11646477.1029295	92.2226893556055	
38.2867329033353	49.6447	797026.649021285	11814210.4370419	11841064.9744844	86.1404808598743	
38.2867329033353	35.4605	2391001.17954281	18487641.8649455	18641614.4249113	82.6308581891801	
35.9446979092484	25.149	-208013.579034841	27733974.5176167	27734754.590457	90.4297284066915	
38.2867329033353	21.2763	2778634.87924655	30523267.8616072	30649481.1170367	84.7985108391108	
42.635799892355	18	2002058.81971743	31815233.5342347	31878163.7544495	86.399257392058	
42.635799892355	14	5372449.50354719	38430943.822503	38804647.3602911	82.0419160461318	
42.635799892355	10	7404975.87548662	61438764.8880319	61883402.4491495	83.1275119701189	
38.2867329033353	7.0921	16556028.635758	77641336.3137628	79386895.5733555	77.962687952947	
42.635799892355	6	9906854.1997929	94720392.6751064	95237064.9939523	84.0291142234967	
42.635799892355	2	45336083.1646137	242127178.707482	246334997.727797	79.3946928825799	
